timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726106559525,86,ConsultarUsuario,200,OK,Grupo de Hilos 1-5,text,true,,1135,217,4,4,https://reqres.in/api/users/2,86,0,0
1726106559612,0,ConsultarUsuario,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 28: https://reqres.in/api/users/<EOF>,Grupo de Hilos 1-5,text,false,,1113,0,4,4,https://reqres.in/api/users/<EOF>,0,0,0
1726106559370,259,ConsultarUsuario,200,OK,Grupo de Hilos 1-6,text,true,,1135,217,4,4,https://reqres.in/api/users/2,259,0,163
1726106559586,82,ConsultarUsuario,200,OK,Grupo de Hilos 1-4,text,true,,1135,217,4,4,https://reqres.in/api/users/2,82,0,0
1726106559668,0,ConsultarUsuario,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 28: https://reqres.in/api/users/<EOF>,Grupo de Hilos 1-4,text,false,,1113,0,4,4,https://reqres.in/api/users/<EOF>,0,0,0
1726106559613,86,ConsultarUsuario,200,OK,Grupo de Hilos 1-5,text,true,,1136,217,4,4,https://reqres.in/api/users/1,86,0,0
1726106559629,85,ConsultarUsuario,200,OK,Grupo de Hilos 1-6,text,true,,1135,217,4,4,https://reqres.in/api/users/2,85,0,0
1726106559715,0,ConsultarUsuario,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 28: https://reqres.in/api/users/<EOF>,Grupo de Hilos 1-6,text,false,,1113,0,4,4,https://reqres.in/api/users/<EOF>,0,0,0
1726106559672,86,ConsultarUsuario,200,OK,Grupo de Hilos 1-4,text,true,,1136,217,4,4,https://reqres.in/api/users/1,86,0,0
1726106559701,88,ConsultarUsuario,200,OK,Grupo de Hilos 1-5,text,true,,1135,217,4,4,https://reqres.in/api/users/2,88,0,0
1726106559790,0,ConsultarUsuario,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 28: https://reqres.in/api/users/<EOF>,Grupo de Hilos 1-5,text,false,,1113,0,4,4,https://reqres.in/api/users/<EOF>,0,0,0
1726106559719,87,ConsultarUsuario,200,OK,Grupo de Hilos 1-6,text,true,,1136,217,4,4,https://reqres.in/api/users/1,87,0,0
